date,product_name,category,quantity,price,stock,temperature,trend_score,day_of_week
2023-08-09,Barbie Dreamhouse,Toys,4,120,43,1.4,81.7,2
2023-08-09,Barbie Dreamhouse,Toys,3,120,50,31.8,38.2,2
2023-08-10,Almond Milk 1L,Food,15,4,460,21.1,55.9,3
2023-08-11,Python Crash Course,Books,5,30,102,32.1,33.1,4
2023-08-11,Levi's Jeans,Clothing,6,60,202,4.0,69.3,4
2023-08-12,Nerf Blaster,Toys,4,35,72,19.7,40.1,5
2023-08-13,iPhone 15 Pro,Electronics,2,999,63,33.5,72.8,6
2023-08-13,Coffee Table,Furniture,1,220,11,31.4,73.9,6
2023-08-14,Almond Milk 1L,Food,18,4,430,20.3,74.5,0
2023-08-15,Organic Coffee 1kg,Food,22,18,520,28.5,34.2,1
2023-08-15,Green Tea 50pk,Food,27,8,591,7.9,33.4,1
2023-08-15,Clean Code,Books,6,35,95,19.3,81.5,1
2023-08-17,Barbie Dreamhouse,Toys,4,120,44,-4.9,31.3,3
2023-08-17,LEGO Technic Set,Toys,2,89,58,17.2,32.5,3
2023-08-18,Clean Code,Books,5,35,82,-2.0,82.7,4
2023-08-18,Organic Coffee 1kg,Food,22,18,516,5.7,80.4,4
2023-08-18,Deep Work,Books,5,20,142,22.8,51.4,4
2023-08-19,Bookshelf,Furniture,1,180,51,7.4,72.9,5
2023-08-20,Clean Code,Books,6,35,101,5.0,35.5,6
2023-08-20,The Lean Startup,Books,6,22,119,32.7,47.2,6
2023-08-20,Bed Frame,Furniture,1,450,20,36.4,55.0,6
2023-08-21,Deep Work,Books,6,20,116,-1.1,83.8,0
2023-08-21,Bookshelf,Furniture,1,180,45,-2.4,51.3,0
2023-08-21,LEGO Technic Set,Toys,5,89,66,-1.1,46.9,0
2023-08-21,Deep Work,Books,6,20,134,23.1,63.1,0
2023-08-22,Deep Work,Books,4,20,143,-2.8,56.4,1
2023-08-23,Olive Oil 1L,Food,28,12,349,-1.2,74.3,2
2023-08-23,LEGO Technic Set,Toys,3,89,76,15.7,72.3,2
2023-08-24,Almond Milk 1L,Food,27,4,436,28.7,82.2,3
2023-08-26,LEGO Technic Set,Toys,4,89,41,12.4,40.1,5
2023-08-26,Adidas Hoodie,Clothing,8,80,190,24.6,49.8,5
2023-08-27,Office Chair,Furniture,1,350,31,20.9,60.9,6
2023-08-27,Hot Wheels 10pk,Toys,6,15,220,-0.7,45.3,6
2023-08-27,Zara Jacket,Clothing,11,110,125,29.9,35.1,6
2023-08-28,MacBook Air,Electronics,1,1299,16,35.6,37.5,0
2023-08-29,Zara Jacket,Clothing,10,110,105,9.4,79.1,1
2023-08-29,MacBook Air,Electronics,1,1299,38,14.7,74.1,1
2023-08-30,Sony Headphones,Electronics,3,349,78,1.3,40.8,2
2023-08-31,LEGO Technic Set,Toys,3,89,75,16.2,49.8,3
2023-08-31,H&M T-Shirt,Clothing,10,25,313,32.7,84.2,3
2023-09-01,Coffee Table,Furniture,1,220,3,8.9,39.6,4
2023-09-01,H&M T-Shirt,Clothing,7,25,320,0.2,43.1,4
2023-09-02,Zara Jacket,Clothing,11,110,119,12.0,66.9,5
2023-09-04,Coffee Table,Furniture,1,220,35,18.5,50.6,0
2023-09-05,Protein Bars 12pk,Food,23,25,415,16.0,54.5,1
2023-09-06,Coffee Table,Furniture,1,220,17,17.4,67.7,2
2023-09-06,Organic Coffee 1kg,Food,21,18,516,11.2,74.9,2
2023-09-06,MacBook Air,Electronics,1,1299,17,6.4,53.7,2
2023-09-06,Bed Frame,Furniture,1,450,13,34.8,77.8,2
2023-09-07,iPad Pro,Electronics,1,899,31,23.2,30.3,3
2023-09-07,iPad Pro,Electronics,1,899,60,28.8,41.3,3
2023-09-07,Samsung 4K TV,Electronics,2,799,44,24.3,47.7,3
2023-09-08,LEGO Technic Set,Toys,5,89,69,29.7,52.3,4
2023-09-09,iPad Pro,Electronics,2,899,25,-4.7,52.6,5
2023-09-09,Office Chair,Furniture,1,350,45,18.1,84.1,5
2023-09-10,Coffee Table,Furniture,1,220,26,20.6,64.1,6
2023-09-11,Atomic Habits,Books,5,18,135,27.5,78.0,0
2023-09-12,Levi's Jeans,Clothing,9,60,207,3.2,54.7,1
2023-09-13,Sony Headphones,Electronics,3,349,73,-3.9,40.2,2
2023-09-13,Samsung 4K TV,Electronics,1,799,49,14.6,80.5,2
2023-09-16,Barbie Dreamhouse,Toys,2,120,47,-1.5,31.1,5
2023-09-16,Hot Wheels 10pk,Toys,5,15,205,15.5,75.2,5
2023-09-16,Atomic Habits,Books,6,18,168,1.6,53.3,5
2023-09-18,Barbie Dreamhouse,Toys,3,120,29,-4.9,42.0,0
2023-09-18,Protein Bars 12pk,Food,16,25,398,36.4,54.6,0
2023-09-20,Bookshelf,Furniture,1,180,48,26.1,31.4,2
2023-09-23,Puzzle 1000pc,Toys,4,25,92,13.0,51.4,5
2023-09-24,iPad Pro,Electronics,2,899,47,8.1,30.0,6
2023-09-25,Bookshelf,Furniture,1,180,41,35.2,61.9,0
2023-09-25,Hot Wheels 10pk,Toys,4,15,219,18.1,61.1,0
2023-09-26,Nike Air Max,Clothing,7,120,157,26.9,60.3,1
2023-09-28,LEGO Technic Set,Toys,5,89,45,-3.1,55.3,3
2023-09-28,Sony Headphones,Electronics,1,349,49,33.3,70.8,3
2023-09-28,Almond Milk 1L,Food,22,4,432,-2.8,74.7,3
2023-09-29,Clean Code,Books,5,35,119,4.1,61.5,4
2023-09-29,Atomic Habits,Books,6,18,161,7.1,43.1,4
2023-09-30,Barbie Dreamhouse,Toys,5,120,44,1.1,33.3,5
2023-09-30,Python Crash Course,Books,4,30,81,11.9,59.9,5
2023-10-01,Python Crash Course,Books,6,30,97,22.6,36.1,6
2023-10-01,LEGO Technic Set,Toys,3,89,51,-1.4,53.3,6
2023-10-01,Almond Milk 1L,Food,27,4,448,5.7,35.3,6
2023-10-01,LEGO Technic Set,Toys,5,89,65,12.1,50.5,6
2023-10-02,MacBook Air,Electronics,1,1299,41,4.1,81.9,0
2023-10-04,Bed Frame,Furniture,1,450,34,21.0,37.5,2
2023-10-05,Samsung 4K TV,Electronics,1,799,37,34.7,67.6,3
2023-10-06,H&M T-Shirt,Clothing,9,25,296,21.0,69.5,4
2023-10-07,Green Tea 50pk,Food,24,8,605,15.9,51.4,5
2023-10-07,Levi's Jeans,Clothing,10,60,207,27.5,36.3,5
2023-10-07,Sony Headphones,Electronics,2,349,64,29.4,54.0,5
2023-10-08,MacBook Air,Electronics,1,1299,33,23.1,43.8,6
2023-10-08,iPad Pro,Electronics,2,899,36,28.5,35.9,6
2023-10-09,iPhone 15 Pro,Electronics,1,999,98,19.3,67.7,0
2023-10-09,iPad Pro,Electronics,2,899,62,21.9,63.8,0
2023-10-09,IKEA Desk,Furniture,1,250,56,2.9,72.0,0
2023-10-09,Hot Wheels 10pk,Toys,4,15,189,30.7,80.3,0
2023-10-10,Atomic Habits,Books,4,18,141,12.1,41.2,1
2023-10-11,Python Crash Course,Books,5,30,88,28.4,56.7,2
2023-10-12,Bed Frame,Furniture,1,450,0,22.0,75.1,3
2023-10-13,Nerf Blaster,Toys,3,35,96,14.4,71.3,4
